league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Brighton,Igor,BRA,DF,27,1998.0,10.0,682,634,46,12,3,3,2,9,0,0,0,0,628,2,5
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20,2005.0,19.5,1004,885,118,27,0,8,26,75,8,4,1,1,836,1,11
Premier League,2425,Brighton,Jakub Moder,POL,MF,26,1999.0,0.1,22,22,0,0,0,0,1,0,0,0,0,0,18,0,0
Premier League,2425,Brighton,James Milner,ENG,MF,39,1986.0,1.9,73,62,11,4,2,0,8,0,6,2,3,0,55,0,1
Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000.0,31.9,2202,2064,136,102,4,19,11,8,0,0,0,0,1939,2,6
Premier League,2425,Brighton,Jason Steele,ENG,GK,34,1990.0,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",23,2001.0,21.6,661,631,26,5,10,3,22,9,4,0,0,0,482,4,20
Premier League,2425,Brighton,Joël Veltman,NED,DF,33,1992.0,18.5,900,729,168,42,2,3,23,126,0,0,0,0,719,3,21
Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",21,2004.0,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",28,1997.0,28.4,956,934,18,0,9,1,72,18,0,0,0,0,723,4,38
Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33,1991.0,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
Premier League,2425,Brighton,Mats Wieffer,NED,"MF,DF",25,1999.0,10.3,646,603,42,10,0,1,10,32,0,0,0,0,550,1,14
Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24,2000.0,10.3,407,341,65,12,2,2,49,1,35,23,7,0,311,1,15
