league,season,team,player,nation,position,age,born_year,90s,tackles,tackles_won,tackles_defensive_third,tackles_middle_third,tackles_offensive_third,dribblers_tackled,dribblers_tackled_attempted,perc_dribblers_tackled,dribblers_tackled_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors
Serie A,2425,Fiorentina,Fabiano Parisi,ITA,"DF,MF",24,2000.0,12.5,27,17,11,12,4,12,21,57.1,9,14,2,12,17,44,17,0
Serie A,2425,Fiorentina,Jonathan Ikone,FRA,"FW,MF",27,1998.0,3.7,5,2,3,2,0,2,4,50.0,2,3,0,3,1,6,1,0
Serie A,2425,Fiorentina,Luca Ranieri,ITA,DF,26,1999.0,33.1,40,22,27,11,2,18,22,81.8,4,45,31,14,28,68,152,1
Serie A,2425,Fiorentina,Lucas Beltrán,ARG,"FW,MF",24,2001.0,20.8,21,10,8,7,6,6,19,31.6,13,15,2,13,5,26,14,0
Serie A,2425,Fiorentina,Lucas Martínez Quarta,ARG,DF,29,1996.0,3.9,12,7,9,3,0,8,13,61.5,5,5,2,3,3,15,25,1
Serie A,2425,Fiorentina,Maat Daniel Caprini,ITA,FW,19,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Fiorentina,Marin Pongračić,CRO,DF,27,1997.0,15.1,18,13,13,4,1,7,11,63.6,4,14,6,8,12,30,69,2
Serie A,2425,Fiorentina,Matias Moreno,ARG,DF,21,2003.0,1.6,8,8,5,3,0,4,4,100.0,0,5,1,4,1,9,9,0
Serie A,2425,Fiorentina,Michael Folorunsho,ITA,"FW,MF",27,1998.0,7.2,19,12,9,6,4,8,20,40.0,12,9,1,8,4,23,10,0
Serie A,2425,Fiorentina,Michael Kayode,ITA,"DF,FW",20,2004.0,1.4,1,1,1,0,0,0,0,0.0,0,3,1,2,2,3,7,0
Serie A,2425,Fiorentina,Moise Kean,ITA,FW,25,2000.0,29.0,7,5,1,2,4,3,4,75.0,1,12,0,12,6,13,26,1
Serie A,2425,Fiorentina,Nicolò Fagioli,ITA,MF,24,2001.0,9.7,17,10,8,7,2,9,22,40.9,13,9,1,8,5,22,11,2
Serie A,2425,Fiorentina,Nicolò Zaniolo,ITA,FW,25,1999.0,3.8,3,1,1,2,0,0,4,0.0,4,2,1,1,0,3,2,0
Serie A,2425,Fiorentina,Pablo Marí,ESP,DF,31,1993.0,11.2,14,9,11,3,0,6,11,54.5,5,16,11,5,21,35,88,0
Serie A,2425,Fiorentina,Pietro Comuzzo,ITA,DF,20,2005.0,23.6,42,21,28,11,3,22,28,78.6,6,34,21,13,28,70,108,4
Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,35,1990.0,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Fiorentina,Riccardo Sottil,ITA,"FW,MF",25,1999.0,9.3,5,4,3,1,1,3,4,75.0,1,1,0,1,4,9,3,0
Serie A,2425,Fiorentina,Robin Gosens,GER,DF,30,1994.0,27.0,55,32,31,16,8,25,43,58.1,18,31,10,21,18,73,90,0
Serie A,2425,Fiorentina,Rolando Mandragora,ITA,MF,27,1997.0,20.5,21,11,9,10,2,13,30,43.3,17,22,7,15,16,37,53,1
Serie A,2425,Fiorentina,Sofyan Amrabat,MAR,MF,28,1996.0,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0
Serie A,2425,Fiorentina,Tommaso Rubino,ITA,MF,18,2006.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Serie A,2425,Fiorentina,Yacine Adli,FRA,MF,24,2000.0,13.7,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0
Serie A,2425,Genoa,Aarón Martín,ESP,DF,28,1997.0,33.3,70,46,40,26,4,32,50,64.0,18,32,10,22,19,89,68,1
Serie A,2425,Genoa,Alan Matturro,URU,DF,20,2004.0,10.0,11,6,6,5,0,3,14,21.4,11,10,3,7,14,25,38,0
Serie A,2425,Genoa,Alessandro Marcandalli,ITA,DF,22,2002.0,0.5,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,2,0
Serie A,2425,Genoa,Alessandro Vogliacco,ITA,DF,26,1998.0,7.9,15,3,7,7,1,10,12,83.3,2,11,7,4,9,24,20,0
Serie A,2425,Genoa,Alessandro Zanoli,ITA,"FW,DF",24,2000.0,19.0,29,20,11,14,4,10,23,43.5,13,20,3,17,12,41,40,0
Serie A,2425,Genoa,Andrea Pinamonti,ITA,FW,26,1999.0,31.7,10,6,0,7,3,2,8,25.0,6,16,4,12,1,11,28,2
Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,33,1992.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Serie A,2425,Genoa,Brooke Norton-Cuffy,ENG,"DF,FW",21,2004.0,7.1,12,7,9,3,0,9,10,90.0,1,10,1,9,3,15,12,0
Serie A,2425,Genoa,Caleb Ekuban,GHA,FW,31,1994.0,5.9,3,3,1,1,1,1,1,100.0,0,4,1,3,1,4,5,0
Serie A,2425,Genoa,David Akpan Ankeye,NGA,"FW,MF",23,2002.0,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Serie A,2425,Genoa,Emil Bohinen,NOR,MF,26,1999.0,1.8,4,4,3,0,1,2,5,40.0,3,2,0,2,1,5,6,0
Serie A,2425,Genoa,Fabio Miretti,ITA,"MF,FW",21,2003.0,18.6,28,15,6,14,8,18,33,54.5,15,20,1,19,7,35,13,2
Serie A,2425,Genoa,Federico Accornero,ITA,MF,21,2004.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Genoa,Filippo Melegoni,ITA,"MF,FW",26,1999.0,1.0,1,1,1,0,0,0,4,0.0,4,0,0,0,0,1,2,0
Serie A,2425,Genoa,Gastón Pereiro,URU,MF,29,1995.0,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
Serie A,2425,Genoa,Honest Ahanor,ITA,"DF,MF",17,2008.0,3.0,7,5,2,3,2,7,10,70.0,3,4,0,4,1,8,9,0
Serie A,2425,Genoa,Jean Onana,CMR,MF,25,2000.0,2.4,9,6,2,7,0,4,7,57.1,3,3,0,3,2,11,8,1
Serie A,2425,Genoa,Jeff Ekhator,ITA,"FW,MF",18,2006.0,8.2,7,4,4,1,2,4,8,50.0,4,10,1,9,2,9,5,0
Serie A,2425,Genoa,Johan Vásquez,MEX,DF,26,1998.0,33.8,56,31,24,27,5,26,44,59.1,18,59,31,28,50,106,150,1
Serie A,2425,Genoa,Junior Messias,BRA,"MF,FW",34,1991.0,8.4,12,7,6,5,1,3,8,37.5,5,7,2,5,6,18,15,0
Serie A,2425,Genoa,Koni De Winter,BEL,DF,22,2002.0,22.7,33,19,21,8,4,17,24,70.8,7,10,6,4,23,56,109,3
Serie A,2425,Genoa,Lior Kasa,ISR,"MF,FW",19,2005.0,2.6,4,4,2,2,0,2,5,40.0,3,4,1,3,3,7,5,0
Serie A,2425,Genoa,Lorenzo Venturino,ITA,"FW,MF",18,2006.0,1.2,3,2,2,0,1,1,3,33.3,2,1,0,1,0,3,3,0
Serie A,2425,Genoa,Mario Balotelli,ITA,"FW,MF",34,1990.0,0.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Serie A,2425,Genoa,Mattia Bani,ITA,DF,31,1993.0,16.1,18,9,11,5,2,7,11,63.6,4,13,8,5,20,38,80,2
Serie A,2425,Genoa,Maxwel Cornet,CIV,"FW,MF",28,1996.0,2.6,2,1,1,0,1,0,1,0.0,1,1,1,0,2,4,1,0
Serie A,2425,Genoa,Milan Badelj,CRO,MF,36,1989.0,16.4,29,16,14,10,5,15,35,42.9,20,19,7,12,20,49,43,0
Serie A,2425,Genoa,Morten Frendrup,DEN,MF,24,2001.0,34.5,102,61,23,52,27,34,78,43.6,44,62,16,46,47,149,57,0
Serie A,2425,Genoa,Morten Thorsby,NOR,"MF,FW",29,1996.0,21.1,49,30,19,20,10,17,29,58.6,12,22,1,21,5,54,28,1
Serie A,2425,Genoa,Nicola Leali,ITA,GK,32,1993.0,29.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,1
Serie A,2425,Genoa,Patrizio Masini,ITA,MF,24,2001.0,16.1,51,28,18,23,10,19,40,47.5,21,24,7,17,13,64,37,0
Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,30,1995.0,7.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,1
Serie A,2425,Genoa,Ruslan Malinovskyi,UKR,"MF,FW",32,1993.0,4.3,12,8,4,7,1,3,6,50.0,3,2,0,2,1,13,4,0
Serie A,2425,Genoa,Sebastian Otoa,DEN,DF,21,2004.0,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,5,0
Serie A,2425,Genoa,Stefano Sabelli,ITA,DF,32,1993.0,22.6,57,31,26,25,6,19,51,37.3,32,28,7,21,22,79,62,0
Serie A,2425,Genoa,Vitinha,POR,"FW,MF",25,2000.0,14.1,22,7,12,5,5,11,29,37.9,18,13,2,11,11,33,21,0
Serie A,2425,Hellas Verona,Abdou Harroui,NED,"MF,FW",27,1998.0,5.1,9,6,6,3,0,4,4,100.0,0,5,0,5,2,11,5,0
Serie A,2425,Hellas Verona,Alphadjo Cissè,ITA,"FW,MF",18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Hellas Verona,Amin Sarr,SWE,FW,24,2001.0,20.5,22,12,3,8,11,5,10,50.0,5,17,3,14,3,25,14,0
Serie A,2425,Hellas Verona,Antoine Bernede,FRA,MF,25,1999.0,6.5,15,8,4,9,2,10,16,62.5,6,6,1,5,5,20,3,0
Serie A,2425,Hellas Verona,Casper Tengstedt,DEN,FW,24,2000.0,16.9,7,5,0,5,2,4,9,44.4,5,5,1,4,4,11,29,0
Serie A,2425,Hellas Verona,Cheikh Tidiane Niasse,SEN,MF,25,2000.0,8.4,18,15,6,12,0,10,19,52.6,9,17,4,13,17,35,17,2
Serie A,2425,Hellas Verona,Dailon Livramento,CPV,"FW,MF",24,2001.0,10.1,13,9,2,5,6,6,12,50.0,6,9,2,7,3,16,8,0
Serie A,2425,Hellas Verona,Daniel Bandeira,POR,MF,25,2000.0,4.5,4,0,1,3,0,3,6,50.0,3,2,1,1,6,10,8,0
Serie A,2425,Hellas Verona,Daniel Mosquera,COL,FW,25,1999.0,14.9,10,7,3,4,3,1,14,7.1,13,11,1,10,2,12,9,0
Serie A,2425,Hellas Verona,Daniel Oyegoke,ENG,DF,22,2003.0,1.1,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,7,0
Serie A,2425,Hellas Verona,Daniele Ghilardi,ITA,DF,22,2003.0,21.5,40,25,25,15,0,23,39,59.0,16,28,14,14,28,68,97,0
Serie A,2425,Hellas Verona,Darko Lazović,SRB,"DF,MF",34,1990.0,16.2,21,10,5,14,2,11,28,39.3,17,19,3,16,11,32,39,0
Serie A,2425,Hellas Verona,Davide Faraoni,ITA,DF,33,1991.0,2.9,10,9,5,5,0,3,9,33.3,6,7,3,4,2,12,12,1
Serie A,2425,Hellas Verona,Diego Coppola,ITA,DF,21,2003.0,31.5,65,35,47,14,4,27,39,69.2,12,42,24,18,71,136,175,2
Serie A,2425,Hellas Verona,Domagoj Bradarić,CRO,DF,25,1999.0,20.6,35,27,20,11,4,18,29,62.1,11,17,4,13,15,50,46,1
Serie A,2425,Hellas Verona,Faride Alidou,GER,"FW,MF",23,2001.0,0.8,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,3,1
Serie A,2425,Hellas Verona,Flavius Daniliuc,AUT,DF,24,2001.0,11.2,26,21,14,9,3,15,24,62.5,9,10,3,7,7,33,27,0
Serie A,2425,Hellas Verona,Giangiacomo Magnani,ITA,DF,29,1995.0,11.8,20,15,14,6,0,7,7,100.0,0,16,9,7,17,37,73,1
Serie A,2425,Hellas Verona,Grigoris Kastanos,CYP,"MF,FW",27,1998.0,9.7,23,16,8,7,8,9,21,42.9,12,17,2,15,7,30,8,0
Serie A,2425,Hellas Verona,Jackson Tchatchoua,CMR,"DF,MF",23,2001.0,34.2,50,31,34,13,3,28,43,65.1,15,21,9,12,13,63,70,2
Serie A,2425,Hellas Verona,Junior Ajayi,CIV,FW,20,2004.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,29,1996.0,36.0,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,24,4
Serie A,2425,Hellas Verona,Martin Frese,DEN,DF,27,1998.0,6.0,17,10,6,10,1,6,11,54.5,5,5,1,4,8,25,16,1
Serie A,2425,Hellas Verona,Mathis Lambourde,FRA,"FW,MF",19,2006.0,1.0,3,1,2,1,0,1,3,33.3,2,3,0,3,0,3,1,0
Serie A,2425,Hellas Verona,Nicolás Valentini,ARG,DF,24,2001.0,11.5,33,22,21,11,1,19,28,67.9,9,12,6,6,14,47,82,0
Serie A,2425,Hellas Verona,Ondrej Duda,SVK,MF,30,1994.0,25.6,44,26,20,21,3,29,62,46.8,33,26,8,18,31,75,30,4
Serie A,2425,Hellas Verona,Paweł Dawidowicz,POL,"DF,MF",30,1995.0,19.5,44,23,20,21,3,18,27,66.7,9,15,5,10,20,64,63,2
Serie A,2425,Hellas Verona,Reda Belahyane,MAR,MF,20,2004.0,18.4,36,26,16,13,7,13,17,76.5,4,20,9,11,10,46,22,1
Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,30,1995.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Serie A,2425,Hellas Verona,Suat Serdar,GER,MF,28,1997.0,14.4,32,19,11,18,3,9,24,37.5,15,19,4,15,8,40,19,0
Serie A,2425,Hellas Verona,Tomáš Suslov,SVK,"MF,FW",22,2002.0,22.5,52,36,21,24,7,21,69,30.4,48,29,2,27,18,70,17,1
Serie A,2425,Hellas Verona,Yllan Okou,FRA,DF,22,2002.0,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
Serie A,2425,Inter,Alessandro Bastoni,ITA,DF,26,1999.0,26.7,46,24,26,14,6,20,30,66.7,10,25,13,12,22,68,52,1
Serie A,2425,Inter,Benjamin Pavard,FRA,DF,29,1996.0,17.6,29,16,12,12,5,18,25,72.0,7,16,12,4,16,45,52,0
Serie A,2425,Inter,Carlos Augusto,BRA,DF,26,1999.0,18.8,29,14,12,11,6,12,19,63.2,7,21,9,12,9,38,49,0
Serie A,2425,Inter,Davide Frattesi,ITA,MF,25,1999.0,13.6,17,8,6,10,1,10,18,55.6,8,12,4,8,5,22,14,1
Serie A,2425,Inter,Denzel Dumfries,NED,"DF,FW",29,1996.0,21.7,25,18,12,9,4,14,27,51.9,13,31,8,23,6,31,26,1
Serie A,2425,Inter,Federico Dimarco,ITA,"DF,FW",27,1997.0,24.2,25,14,10,12,3,10,19,52.6,9,24,4,20,14,39,33,2
Serie A,2425,Inter,Francesco Acerbi,ITA,DF,37,1988.0,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0
Serie A,2425,Inter,Hakan Çalhanoğlu,TUR,MF,31,1994.0,21.6,43,23,7,23,13,21,36,58.3,15,17,8,9,18,61,24,0
Serie A,2425,Inter,Henrikh Mkhitaryan,ARM,MF,36,1989.0,26.6,43,24,17,16,10,20,45,44.4,25,29,5,24,17,60,41,0
Serie A,2425,Inter,Joaquín Correa,ARG,"FW,MF",30,1994.0,8.1,11,5,4,7,0,4,13,30.8,9,3,0,3,0,11,6,0
Serie A,2425,Inter,Josep Martinez,ESP,GK,26,1998.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Inter,Kristjan Asllani,ALB,MF,23,2002.0,11.0,14,3,8,4,2,8,22,36.4,14,8,1,7,9,23,13,1
Serie A,2425,Inter,Lautaro Martínez,ARG,FW,27,1997.0,28.5,30,16,10,12,8,13,25,52.0,12,21,3,18,10,40,15,0
Serie A,2425,Inter,Luka Topalović,SVN,MF,19,2006.0,0.1,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
Serie A,2425,Inter,Marcus Thuram,FRA,FW,27,1997.0,25.4,18,10,7,5,6,3,14,21.4,11,16,3,13,3,21,15,0
Serie A,2425,Inter,Marko Arnautović,AUT,FW,36,1989.0,6.1,7,6,1,3,3,3,5,60.0,2,3,0,3,1,8,1,0
Serie A,2425,Inter,Matteo Darmian,ITA,DF,35,1989.0,19.8,28,17,12,12,4,14,25,56.0,11,14,6,8,10,38,39,0
Serie A,2425,Inter,Mehdi Taremi,IRN,FW,32,1992.0,9.1,7,1,2,2,3,1,4,25.0,3,11,2,9,0,7,11,0
Serie A,2425,Inter,Nicola Zalewski,POL,"DF,MF",23,2002.0,4.8,7,4,3,2,2,4,6,66.7,2,5,1,4,2,9,5,1
Serie A,2425,Inter,Nicolò Barella,ITA,MF,28,1997.0,27.7,50,31,19,20,11,26,59,44.1,33,26,3,23,12,62,16,1
Serie A,2425,Inter,Piotr Zieliński,POL,MF,31,1994.0,10.9,14,10,6,7,1,6,13,46.2,7,10,5,5,6,20,13,1
Serie A,2425,Inter,Stefan de Vrij,NED,DF,33,1992.0,19.2,18,12,12,5,1,9,12,75.0,3,19,11,8,23,41,89,0
Serie A,2425,Inter,Tajon Buchanan,CAN,"DF,FW",26,1999.0,1.1,3,0,2,0,1,1,2,50.0,1,0,0,0,0,3,3,0
Serie A,2425,Inter,Tomás Palacios,ARG,DF,22,2003.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
Serie A,2425,Inter,Yann Aurel Bisseck,GER,DF,24,2000.0,18.3,17,12,11,4,2,11,16,68.8,5,23,12,11,17,34,64,1
Serie A,2425,Inter,Yann Sommer,SUI,GK,36,1988.0,33.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,1
Serie A,2425,Juventus,Alberto costa,POR,DF,21,2003.0,3.5,13,9,6,5,2,6,8,75.0,2,5,1,4,4,17,10,0
Serie A,2425,Juventus,Andrea Cambiaso,ITA,"DF,FW",25,2000.0,23.8,43,28,26,11,6,26,42,61.9,16,23,4,19,15,58,34,5
Serie A,2425,Juventus,Danilo,BRA,DF,33,1991.0,6.5,10,4,7,2,1,5,10,50.0,5,4,3,1,9,19,21,1
Serie A,2425,Juventus,Diego Pugno,ITA,FW,18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Juventus,Douglas Luiz,BRA,MF,27,1998.0,5.9,13,8,7,5,1,6,9,66.7,3,5,2,3,4,17,5,0
Serie A,2425,Juventus,Dušan Vlahović,SRB,FW,25,2000.0,19.7,3,1,0,1,2,1,5,20.0,4,7,3,4,1,4,9,3
Serie A,2425,Juventus,Federico Gatti,ITA,DF,26,1998.0,24.3,28,23,18,8,2,14,24,58.3,10,27,18,9,18,46,74,2
Serie A,2425,Juventus,Francisco Conceição,POR,"FW,MF",22,2002.0,13.9,22,13,6,8,8,12,29,41.4,17,7,0,7,5,27,6,0
Serie A,2425,Juventus,Gleison Bremer,BRA,DF,28,1997.0,6.0,15,7,9,5,1,4,5,80.0,1,15,11,4,6,21,16,0
Serie A,2425,Juventus,Jonas Rouhi,SWE,DF,21,2004.0,2.3,4,1,1,3,0,0,1,0.0,1,2,0,2,3,7,2,0
Serie A,2425,Juventus,Juan David Cabal,COL,DF,24,2001.0,5.1,10,4,7,3,0,8,12,66.7,4,2,0,2,2,12,14,1
Serie A,2425,Juventus,Kenan Yıldız,TUR,"FW,MF",20,2005.0,25.7,52,29,11,26,15,16,30,53.3,14,24,0,24,5,57,12,3
Serie A,2425,Juventus,Khéphren Thuram,FRA,MF,24,2001.0,24.8,39,18,13,22,4,18,30,60.0,12,31,9,22,12,51,37,1
Serie A,2425,Juventus,Lloyd Kelly,ENG,DF,26,1998.0,10.3,10,8,3,6,1,7,9,77.8,2,10,6,4,2,12,51,3
Serie A,2425,Juventus,Lorenzo Anghelè,ITA,FW,20,2005.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Juventus,Manuel Locatelli,ITA,MF,27,1998.0,30.4,69,47,28,34,7,30,50,60.0,20,55,19,36,23,92,74,0
Serie A,2425,Juventus,Mattia Perin,ITA,GK,32,1992.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27,1997.0,32.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,0
Serie A,2425,Juventus,Nicolás González,ARG,"FW,MF",27,1998.0,18.6,24,13,10,9,5,9,25,36.0,16,16,4,12,9,33,30,2
Serie A,2425,Juventus,Nicolò Fagioli,ITA,MF,24,2001.0,6.3,14,10,7,6,1,6,9,66.7,3,4,0,4,2,16,5,0
Serie A,2425,Juventus,Nicolò Savona,ITA,DF,22,2003.0,18.2,29,13,19,9,1,13,24,54.2,11,10,2,8,10,39,33,0
Serie A,2425,Juventus,Pierre Kalulu,FRA,DF,24,2000.0,26.0,41,25,29,9,3,18,24,75.0,6,27,15,12,17,58,68,1
Serie A,2425,Juventus,Randal Kolo Muani,FRA,FW,26,1998.0,12.1,11,7,3,5,3,4,5,80.0,1,7,0,7,3,14,2,0
Serie A,2425,Juventus,Renato Veiga,POR,DF,21,2003.0,11.6,17,12,7,9,1,9,14,64.3,5,16,13,3,17,34,77,0
Serie A,2425,Juventus,Samuel Mbangula,BEL,FW,21,2004.0,7.9,15,10,7,6,2,7,13,53.8,6,7,0,7,3,18,4,0
Serie A,2425,Juventus,Teun Koopmeiners,NED,"MF,FW",27,1998.0,22.2,32,16,6,19,7,10,30,33.3,20,36,14,22,8,40,26,2
Serie A,2425,Juventus,Timothy Weah,USA,"DF,FW",25,2000.0,18.1,35,19,15,12,8,14,25,56.0,11,25,4,21,14,49,27,2
Serie A,2425,Juventus,Vasilije Adžić,MNE,"MF,FW",19,2006.0,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0
Serie A,2425,Juventus,Weston McKennie,USA,"MF,DF",26,1998.0,25.5,33,12,18,11,4,13,22,59.1,9,28,8,20,14,47,37,0
Serie A,2425,Lazio,Adam Marušić,MNE,DF,32,1992.0,25.5,31,19,17,12,2,17,29,58.6,12,18,8,10,16,47,60,0
Serie A,2425,Lazio,Alessio Romagnoli,ITA,DF,30,1995.0,28.7,48,29,20,26,2,22,27,81.5,5,32,16,16,25,73,114,1
Serie A,2425,Lazio,Arijon Ibrahimović,GER,MF,19,2005.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Lazio,Boulaye Dia,SEN,"MF,FW",28,1996.0,23.2,22,10,5,12,5,7,16,43.8,9,12,1,11,5,27,16,1
Serie A,2425,Lazio,Christos Mandas,GRE,GK,23,2001.0,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
Serie A,2425,Lazio,Elseid Hysaj,ALB,DF,31,1994.0,4.2,11,6,6,5,0,3,3,100.0,0,3,2,1,5,16,19,0
Serie A,2425,Lazio,Fisayo Dele-Bashiru,NGA,"MF,FW",24,2001.0,10.5,10,6,3,3,4,2,6,33.3,4,10,2,8,4,14,5,0
Serie A,2425,Lazio,Gaetano Castrovilli,ITA,"MF,FW",28,1997.0,1.6,5,2,3,1,1,2,4,50.0,2,3,0,3,3,8,1,0
Serie A,2425,Lazio,Gustav Isaksen,DEN,FW,24,2001.0,24.1,16,9,7,8,1,7,28,25.0,21,21,2,19,9,25,21,1
Serie A,2425,Lazio,Ivan Provedel,ITA,GK,31,1994.0,29.0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,12,3
Serie A,2425,Lazio,Loum Tchaouna,FRA,"FW,MF",21,2003.0,7.3,8,4,2,2,4,3,9,33.3,6,5,1,4,4,12,14,2
Serie A,2425,Lazio,Luca Pellegrini,ITA,DF,26,1999.0,11.7,22,11,10,10,2,16,31,51.6,15,10,3,7,19,41,31,0
Serie A,2425,Lazio,Manuel Lazzari,ITA,DF,31,1993.0,15.6,26,16,13,11,2,14,24,58.3,10,9,5,4,10,36,19,0
Serie A,2425,Lazio,Mario Gila,ESP,DF,24,2000.0,29.5,53,36,33,18,2,36,53,67.9,17,19,13,6,28,81,112,3
Serie A,2425,Lazio,Mattia Zaccagni,ITA,FW,29,1995.0,29.0,37,26,13,20,4,15,30,50.0,15,17,1,16,29,66,21,2
Serie A,2425,Lazio,Mattéo Guendouzi,FRA,MF,26,1999.0,35.3,36,20,12,19,5,20,46,43.5,26,33,9,24,31,67,48,2
Serie A,2425,Lazio,Matías Vecino,URU,MF,33,1991.0,9.6,13,7,3,9,1,4,18,22.2,14,8,3,5,5,18,15,0
Serie A,2425,Lazio,Nicolò Casale,ITA,DF,27,1998.0,1.5,5,3,4,1,0,0,0,0.0,0,4,3,1,1,6,2,0
Serie A,2425,Lazio,Nicolò Rovella,ITA,MF,23,2001.0,29.4,82,48,38,37,7,40,77,51.9,37,19,4,15,47,129,46,3
Serie A,2425,Lazio,Nuno Tavares,POR,DF,25,2000.0,17.9,28,21,15,8,5,14,33,42.4,19,20,3,17,20,48,42,1
Serie A,2425,Lazio,Oliver Nielsen,DEN,DF,21,2003.0,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,2,0
Serie A,2425,Lazio,Patric,ESP,DF,32,1993.0,6.7,9,6,6,3,0,6,10,60.0,4,3,2,1,3,12,22,1
Serie A,2425,Lazio,Pedro,ESP,"FW,MF",37,1987.0,11.7,19,14,5,9,5,10,21,47.6,11,11,0,11,3,22,3,1
Serie A,2425,Lazio,Reda Belahyane,MAR,MF,20,2004.0,2.2,8,6,8,0,0,6,6,100.0,0,3,2,1,1,9,5,0
Serie A,2425,Lazio,Samuel Gigot,FRA,DF,31,1993.0,7.6,4,3,1,3,0,0,1,0.0,1,8,6,2,13,17,36,0
Serie A,2425,Lazio,Tijjani Noslin,NED,"FW,MF",25,1999.0,9.4,6,5,2,1,3,1,8,12.5,7,15,1,14,1,7,7,0
Serie A,2425,Lazio,Valentín Castellanos,ARG,FW,26,1998.0,25.5,13,6,2,4,7,1,10,10.0,9,18,2,16,5,18,24,0
Serie A,2425,Lecce,Andy Pelmard,FRA,DF,25,2000.0,1.4,6,6,5,1,0,4,4,100.0,0,1,0,1,0,6,5,0
Serie A,2425,Lecce,Ante Rebić,CRO,"FW,MF",31,1993.0,8.8,12,9,5,5,2,3,9,33.3,6,7,1,6,2,14,4,1
Serie A,2425,Lecce,Antonino Gallo,ITA,DF,25,2000.0,28.0,64,41,45,15,4,33,60,55.0,27,31,4,27,20,84,124,0
Serie A,2425,Lecce,Balthazar Pierret,FRA,MF,25,2000.0,19.1,51,31,25,23,3,13,30,43.3,17,19,5,14,19,70,31,1
Serie A,2425,Lecce,Danilo Veiga,POR,DF,22,2002.0,4.0,8,6,4,4,0,6,12,50.0,6,5,0,5,4,12,10,0
Serie A,2425,Lecce,Federico Baschirotto,ITA,DF,28,1996.0,37.0,37,25,30,5,2,22,28,78.6,6,44,32,12,23,60,219,2
Serie A,2425,Lecce,Filip Marchwiński,POL,MF,23,2002.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Serie A,2425,Lecce,Frederic Guilbert,FRA,DF,30,1994.0,26.1,64,35,29,29,6,35,54,64.8,19,27,8,19,46,110,104,3
Serie A,2425,Lecce,Gaby Jean,FRA,DF,25,2000.0,15.4,14,7,8,5,1,6,11,54.5,5,13,10,3,9,23,71,1
