league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25,1999.0,10.8,1,0,0,6,11,0,42,13,9,0,0,0,61,23,9,71.9
Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003.0,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0
Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27,1997.0,31.0,5,0,0,2,4,0,0,2,0,0,2,0,43,10,0,100.0
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21,2004.0,8.5,4,0,0,16,6,0,0,16,13,0,1,0,39,12,3,80.0
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27,1997.0,14.7,3,0,0,8,8,1,0,10,13,0,0,0,38,38,27,58.5
Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999.0,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7
Premier League,2425,Chelsea,Tyrique George,ENG,FW,19,2006.0,2.0,1,0,0,3,0,2,3,2,0,0,0,0,4,0,4,0.0
Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24,2000.0,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2
Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004.0,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4
